Time(s), T_gas(K), N_gas(#/cm^3), O, O2, H, OH, H2, HO2, H2O2, CH, CO, CH2, HCO, CH2(S), CH3, CH2O, CH4, CO2, CH2OH, CH3O, CH3OH, C2H, C2H2, HCCO, C2H3, CH2CO, C2H4, C2H5, C2H6, H2O, N2, AR, C, HCCOH, N, NO, N2O, NO2, NH, HNO, NH2, NNH, CN, NCO, HCN, HOCN, HNCO, H2CN, HCNN, HCNO, NH3, CH2CHO, CH3CHO, C3H8, C3H7, Electron, N2(A3), N2(B3), N2(a1), N2(C3), N2+, N(2D), O2(a1), O2(b1), O2(A3), O(1D), O(1S), O-, O2-, O2+, O+, O3, NO-, NO(A), NO(D), NO+, N(2P), N+, CH4+, CH3+, CH2+, N4+, O4+, O4-, N3+, N2O+, NO2+, O3-, O2(B3), NO3, H+, H2O+, OH+, H2+, NO2-, N2O-, NO3-, OH-, H-, O4, AR*, AR+
1e-10, 1500.01, 4.89265e+18, 1.95708e+17, 9.10022e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78688e+18, 0, 0, 0, 1.1936e+11, 1.61365e+08, 2.44069e+07, 59.7053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97469e+13, 8.24775e+11, 2.84251e+12, 1.04591e+12, 5.78848e+11, 1.12723e+10, 1.19341e+11, 9.62678e+11, 2.202e+11, 5.42097e+11, 2.67448e+12, 8.75657e+10, 5.26807e+10, 4.69247e+09, 1.89579e+10, 1.64349e+09, 3.76585e+09, 1.65349, 162.456, 36.2819, 1.08718e+07, 785872, 4879.79, 0, 0, 0, 1.20141e+07, 10662.4, 694669, 3.34831, 0.00478195, 0.00335707, 2.47337e+06, 0, 0.0221101, 0, 0, 0, 0, 15.6196, 8.31776e-05, 6.4227e-07, 0, 0, 49.2839, 0, 0
2e-10, 1500.01, 4.89265e+18, 1.95712e+17, 9.10016e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78687e+18, 0, 0, 0, 2.59936e+11, 6.69786e+08, 5.46853e+07, 491.246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97469e+13, 1.7339e+12, 5.85545e+12, 2.1618e+12, 1.2048e+12, 2.50805e+10, 2.59857e+11, 1.96995e+12, 4.57804e+11, 1.11591e+12, 5.48738e+12, 1.83442e+11, 1.07995e+11, 9.33324e+09, 4.21938e+10, 2.4287e+09, 7.54451e+09, 14.0451, 1417.5, 315.583, 4.11134e+07, 3.35302e+06, 22490.1, 0, 0, 0, 5.00234e+07, 45287.1, 2.73461e+06, 29.8187, 0.0438716, 0.0572551, 9.99527e+06, 0, 0.329631, 0, 0, 0, 0, 125.509, 0.000737202, 2.07997e-05, 0, 0, 424.094, 0, 0
3e-10, 1500.02, 4.89266e+18, 1.95717e+17, 9.1001e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78687e+18, 0, 0, 0, 4.35959e+11, 1.59149e+09, 9.15469e+07, 1736.63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18672e+13, 2.79988e+12, 9.28121e+12, 3.44029e+12, 1.93367e+12, 4.30521e+10, 4.35767e+11, 3.09583e+12, 7.30177e+11, 1.76421e+12, 8.66024e+12, 2.95249e+11, 1.70016e+11, 1.42573e+10, 7.12533e+10, 3.16233e+09, 1.13364e+10, 53.4346, 5528.34, 1227.86, 9.28457e+07, 8.5348e+06, 61668.4, 0, 0, 0, 1.19973e+08, 109056, 6.10516e+06, 116.976, 0.174821, 0.322318, 2.29726e+07, 0, 1.65498, 0, 0, 0, 0, 428.523, 0.00278646, 0.000163312, 0, 0, 1567.69, 0, 0
4e-10, 1500.03, 4.89267e+18, 1.95724e+17, 9.10002e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78686e+18, 0, 0, 0, 6.61196e+11, 3.02603e+09, 1.36116e+08, 4368.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5137e+13, 4.07824e+12, 1.32934e+13, 4.95031e+12, 2.81017e+12, 6.69314e+10, 6.60813e+11, 4.38768e+12, 1.04921e+12, 2.51552e+12, 1.23464e+13, 4.28743e+11, 2.41381e+11, 1.96429e+10, 1.08115e+11, 4.07717e+09, 1.51425e+10, 147.104, 15588, 3457.33, 1.72197e+08, 1.77745e+07, 138581, 0, 0, 0, 2.31121e+08, 209092, 1.08674e+07, 333.019, 0.499676, 1.16457, 4.21232e+07, 0, 5.41794, 0, 0, 0, 0, 1034.55, 0.00747826, 0.000724251, 0, 0, 4148.67, 0, 0
5e-10, 1500.04, 4.89268e+18, 1.95732e+17, 9.09993e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78685e+18, 0, 0, 0, 9.50181e+11, 5.10495e+09, 1.89836e+08, 9153.72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91098e+13, 5.61767e+12, 1.80345e+13, 6.7504e+12, 3.87467e+12, 9.87066e+10, 9.495e+11, 5.88033e+12, 1.42433e+12, 3.39169e+12, 1.66677e+13, 5.88929e+11, 3.24042e+11, 2.55957e+10, 1.54985e+11, 5.25413e+09, 1.89646e+10, 339.201, 36791.3, 8155.85, 2.88062e+08, 3.32488e+07, 280092, 0, 0, 0, 3.96279e+08, 354729, 1.71216e+07, 800.612, 1.19545, 3.32242, 6.83745e+07, 0, 14.1353, 0, 0, 0, 0, 2069.57, 0.0166836, 0.00235959, 0, 0, 9185.64, 0, 0
6e-10, 1500.05, 4.89269e+18, 1.95741e+17, 9.09983e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78684e+18, 0, 0, 0, 1.32076e+12, 7.99528e+09, 2.54463e+08, 17124.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37856e+13, 7.47348e+12, 2.36638e+13, 8.90693e+12, 5.17397e+12, 1.40909e+11, 1.31963e+12, 7.61109e+12, 1.86588e+12, 4.41639e+12, 2.17591e+13, 7.815e+11, 4.20096e+11, 3.22204e+10, 2.14576e+11, 6.76522e+09, 2.28044e+10, 700.075, 77682.3, 17225.2, 4.52249e+08, 5.82325e+07, 530447, 0, 0, 0, 6.32501e+08, 557849, 2.49955e+07, 1735.6, 2.56181, 8.19543, 1.02837e+08, 0, 32.0542, 0, 0, 0, 0, 3679.63, 0.0331683, 0.00634004, 0, 0, 18213.2, 0, 0
7e-10, 1500.07, 4.89271e+18, 1.95753e+17, 9.0997e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78682e+18, 0, 0, 0, 1.7945e+12, 1.19067e+10, 3.32104e+08, 29684.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91645e+13, 9.70788e+12, 3.03572e+13, 1.14942e+13, 6.76154e+12, 1.96712e+11, 1.79272e+12, 9.61952e+12, 2.3851e+12, 5.61504e+12, 2.7768e+13, 1.01286e+12, 5.31764e+11, 3.96202e+10, 2.90154e+11, 8.68647e+09, 2.66642e+10, 1339.2, 151949, 33725.5, 6.80154e+08, 9.75656e+07, 961081, 0, 0, 0, 9.6217e+08, 833385, 3.46424e+07, 3510.85, 5.09643, 18.3351, 1.46814e+08, 0, 66.1134, 0, 0, 0, 0, 6035.04, 0.0609733, 0.0149373, 0, 0, 33517.9, 0, 0
8e-10, 1500.09, 4.89272e+18, 1.95768e+17, 9.09954e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78681e+18, 0, 0, 0, 2.40263e+12, 1.71057e+10, 4.25331e+08, 48754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57472e+13, 1.24134e+13, 3.83874e+13, 1.46262e+13, 8.71847e+12, 2.7071e+11, 2.39993e+12, 1.19684e+13, 2.99903e+12, 7.02738e+12, 3.49251e+13, 1.29257e+12, 6.62573e+11, 4.79763e+10, 3.86401e+11, 1.11791e+10, 3.05467e+10, 2433.7, 282212, 62748, 9.92169e+08, 1.58914e+08, 1.69316e+06, 0, 0, 0, 1.41496e+09, 1.20028e+06, 4.62519e+07, 6767.93, 9.61871, 38.274, 2.01869e+08, 0, 127.444, 0, 0, 0, 0, 9335.35, 0.105984, 0.0320048, 0, 0, 58516.1, 0, 0
9e-10, 1500.11, 4.89275e+18, 1.95785e+17, 9.09936e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78679e+18, 0, 0, 0, 3.18382e+12, 2.39339e+10, 5.37319e+08, 76995.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35948e+13, 1.56975e+13, 4.80661e+13, 1.84349e+13, 1.11402e+13, 3.68777e+11, 3.17983e+12, 1.47269e+13, 3.72681e+12, 8.69763e+12, 4.34916e+13, 1.63171e+12, 8.16411e+11, 5.74774e+10, 5.09115e+11, 1.43991e+10, 3.44551e+10, 4259.92, 504604, 112471, 1.41537e+09, 2.53919e+08, 2.92537e+06, 0, 0, 0, 2.03043e+09, 1.68277e+06, 6.00609e+07, 12608.3, 17.4702, 75.9537, 2.69902e+08, 0, 233.737, 0, 0, 0, 0, 13816.7, 0.176774, 0.0638623, 0, 0, 98332.6, 0, 0
1e-09, 1500.14, 4.89277e+18, 1.95807e+17, 9.09913e+17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78676e+18, 0, 0, 0, 4.19795e+12, 3.28384e+10, 6.72097e+08, 118170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36902e+13, 1.97314e+13, 5.99115e+13, 2.31381e+13, 1.41829e+13, 4.99977e+11, 4.1922e+12, 1.80119e+13, 4.5994e+12, 1.06996e+13, 5.3905e+13, 2.04802e+12, 9.99845e+11, 6.84649e+10, 6.67189e+11, 1.86987e+10, 3.83936e+10, 7283.21, 880788, 196974, 1.98658e+09, 4.02132e+08, 5.01059e+06, 0, 0, 0, 2.86237e+09, 2.31234e+06, 7.63754e+07, 22943.7, 30.8558, 145.186, 3.53287e+08, 0, 413.106, 0, 0, 0, 0, 19761.6, 0.28593, 0.120647, 0, 0, 160778, 0, 0
