Time(s), T_gas(K), N_gas(#/cm^3), e, N, N2, N2(A), N2(B), N2(a'), N2(C), N^+, N2^+, N3^+, N4^+
7.02576e-06, 300, 2.44631e+19, 972588, 8.12487e-06, 2.44631e+19, 24290.3, 3.35998, 29.0614, 0.0344321, 1.18858e-20, 5.01012, 1.29205e-10, 999992
1.52225e-05, 300, 2.44631e+19, 1.67992e+06, 4.61039e-05, 2.44631e+19, 7.53631e+07, 9077.47, 162804, 1001.6, 1.24779e-19, 26.4622, 2.47238e-06, 1.00014e+06
2.45902e-05, 300, 2.44631e+19, 2.70986e+06, 0.00438298, 2.44631e+19, 4.84671e+09, 516104, 1.643e+07, 174119, 3.63676e-17, 520.525, 0.0032816, 1.40681e+06
3.27869e-05, 300, 2.44631e+19, 3.29341e+06, 5.97622, 2.44631e+19, 3.71365e+10, 4.1041e+06, 1.86157e+08, 2.39632e+06, 1.40854e-12, 169175, 5.76517, 1.92417e+07
4.09836e-05, 300, 2.44631e+19, 1.40914e+06, 1549.48, 2.44631e+19, 7.4797e+10, 5.10436e+06, 2.85053e+08, 3.99659e+06, 2.52041e-09, 1.68982e+07, 1540.01, 6.76754e+07
4.91803e-05, 300, 2.44631e+19, 1.1963e+06, 52001.6, 2.44631e+19, 1.3768e+11, 8.77362e+06, 5.62593e+08, 8.27682e+06, 2.87879e-07, 2.87352e+08, 51866.1, 3.08786e+07
5.50351e-05, 300, 2.44631e+19, 4.9963e+06, 715346, 2.44631e+19, 4.36556e+11, 5.61602e+07, 3.91407e+09, 5.91204e+07, 3.89285e-05, 2.01119e+09, 712943, 8.66809e+06
5.9719e-05, 300, 2.44631e+19, 1.12512e+07, 6.1351e+06, 2.44631e+19, 1.1176e+12, 1.61297e+08, 1.17721e+10, 1.8039e+08, 0.00169144, 7.13866e+09, 6.1172e+06, 2.89613e+06
6.44028e-05, 300.001, 2.4463e+19, 1.98993e+07, 4.32754e+07, 2.4463e+19, 2.5259e+12, 3.39437e+08, 2.55341e+10, 3.95373e+08, 0.0443223, 2.01328e+10, 4.31784e+07, 1.14551e+06
6.67447e-05, 300.002, 2.4463e+19, 2.95121e+07, 1.01029e+08, 2.4463e+19, 3.66791e+12, 5.59618e+08, 4.2888e+10, 6.68135e+08, 0.197823, 3.21732e+10, 1.00822e+08, 466549
7.02576e-05, 300.003, 2.44629e+19, 3.75937e+07, 3.38187e+08, 2.44629e+19, 5.98236e+12, 7.72659e+08, 5.9706e+10, 9.35412e+08, 1.36804, 5.87601e+10, 3.37629e+08, 321185
7.37705e-05, 300.004, 2.44628e+19, 4.35639e+07, 9.4305e+08, 2.44628e+19, 8.7706e+12, 9.76408e+08, 7.58907e+10, 1.19655e+09, 6.94606, 9.42421e+10, 9.41866e+08, 181861
7.96253e-05, 300.007, 2.44625e+19, 4.79347e+07, 3.63826e+09, 2.44625e+19, 1.39461e+13, 1.21062e+09, 9.36253e+10, 1.49152e+09, 54.8877, 1.68725e+11, 3.63571e+09, 103748
8.54801e-05, 300.011, 2.44622e+19, 5.03942e+07, 9.92833e+09, 2.44622e+19, 1.92113e+13, 1.44526e+09, 1.107e+11, 1.78267e+09, 259.503, 2.56373e+11, 9.92623e+09, 49297.3
9.25059e-05, 300.017, 2.44617e+19, 4.97947e+07, 2.45666e+10, 2.44617e+19, 2.4824e+13, 1.63288e+09, 1.22572e+11, 1.99759e+09, 1012.49, 3.65899e+11, 2.4577e+10, 28267.5
